PS,scenario,exp,BITING_RATE_MEAN,DAILY_BITING_RATE_DISTRIBUTION,N_GENES_INITIAL,N_LOCI,N_ALLELES_INITIAL,TRANSITION_RATE_NOT_IMMUNE,N_POPULATIONS,populations_dist,T_BURNIN,T_END,IRS_START_TIMES,IRS_input,IRS_IMMIGRATION,MDA_START,HOST_FAIL_RATE,DRUG_EFF_DURATION,MDA_IMMIGRATION_RATE_FACTORS,POOLSIZE_BOUNCE_BACK_AFTER_INTERVENTION,wall_time,mem_per_cpu,JobID,MaxMemory,CPUTime,State,varmodel2
01,S,000,0.1,fixed_biting_rates_1.csv,120,2,12,0.1666666667,1,1,15,28800,,,,,,,,,03:00:00,4000,,,,,682356496e9bc39964ac88e90418d2beb135dfa8
01,S,001,0.1,fixed_biting_rates_1.csv,120,2,12,0.1666666667,1,1,15,37800,,,,,,,,,01:00:00,3000,,,,,682356496e9bc39964ac88e90418d2beb135dfa8
02,S,000,0.2,fixed_biting_rates_1.csv,1200,2,120,0.1666666667,1,1,15,28800,,,,,,,,,03:00:00,4000,,,,,682356496e9bc39964ac88e90418d2beb135dfa8
02,S,001,0.2,fixed_biting_rates_1.csv,1200,2,120,0.1666666667,1,1,15,37800,,,,,,,,,01:00:00,3000,,,,,682356496e9bc39964ac88e90418d2beb135dfa8
03,S,000,0.5,fixed_biting_rates_1.csv,12000,2,1200,0.1666666667,1,1,15,28800,,,,,,,,,03:00:00,4000,,,,,682356496e9bc39964ac88e90418d2beb135dfa8
03,S,001,0.5,fixed_biting_rates_1.csv,12000,2,1200,0.1666666667,1,1,15,37800,,,,,,,,,01:00:00,3000,,,,,682356496e9bc39964ac88e90418d2beb135dfa8
01,N,000,0.1,fixed_biting_rates_1.csv,120,2,12,0.1666666667,1,1,15,28800,,,,,,,,,03:00:00,4000,,,,,682356496e9bc39964ac88e90418d2beb135dfa8
01,N,001,0.1,fixed_biting_rates_1.csv,120,2,12,0.1666666667,1,1,15,37800,,,,,,,,,01:00:00,3000,,,,,682356496e9bc39964ac88e90418d2beb135dfa8
02,N,000,0.2,fixed_biting_rates_1.csv,1200,2,120,0.1666666667,1,1,15,28800,,,,,,,,,03:00:00,4000,,,,,682356496e9bc39964ac88e90418d2beb135dfa8
02,N,001,0.2,fixed_biting_rates_1.csv,1200,2,120,0.1666666667,1,1,15,37800,,,,,,,,,01:00:00,3000,,,,,682356496e9bc39964ac88e90418d2beb135dfa8
03,N,000,0.5,fixed_biting_rates_1.csv,12000,2,1200,0.1666666667,1,1,15,28800,,,,,,,,,03:00:00,4000,,,,,682356496e9bc39964ac88e90418d2beb135dfa8
03,N,001,0.5,fixed_biting_rates_1.csv,12000,2,1200,0.1666666667,1,1,15,37800,,,,,,,,,01:00:00,3000,,,,,682356496e9bc39964ac88e90418d2beb135dfa8
01,G,000,0.1,fixed_biting_rates_1.csv,120,2,12,0.1666666667,1,1,15,28800,,,,,,,,,03:00:00,4000,,,,,682356496e9bc39964ac88e90418d2beb135dfa8
01,G,001,0.1,fixed_biting_rates_1.csv,120,2,12,0.1666666667,1,1,15,37800,,,,,,,,,01:00:00,3000,,,,,682356496e9bc39964ac88e90418d2beb135dfa8
02,G,000,0.2,fixed_biting_rates_1.csv,1200,2,120,0.1666666667,1,1,15,28800,,,,,,,,,03:00:00,4000,,,,,682356496e9bc39964ac88e90418d2beb135dfa8
02,G,001,0.2,fixed_biting_rates_1.csv,1200,2,120,0.1666666667,1,1,15,37800,,,,,,,,,01:00:00,3000,,,,,682356496e9bc39964ac88e90418d2beb135dfa8
03,G,000,0.5,fixed_biting_rates_1.csv,12000,2,1200,0.1666666667,1,1,15,28800,,,,,,,,,03:00:00,4000,,,,,682356496e9bc39964ac88e90418d2beb135dfa8
03,G,001,0.5,fixed_biting_rates_1.csv,12000,2,1200,0.1666666667,1,1,15,37800,,,,,,,,,01:00:00,3000,,,,,682356496e9bc39964ac88e90418d2beb135dfa8